home_passing_ypg,home_rushing_ypg,home_total_ypg,home_points_pg,home_passing_tds_pg,home_turnovers_pg,home_injury_pct,away_passing_ypg,away_rushing_ypg,away_total_ypg,away_points_pg,away_passing_tds_pg,away_turnovers_pg,away_injury_pct,passing_advantage,rushing_advantage,scoring_advantage,turnover_advantage,injury_advantage,home_field_advantage,is_playoff,is_neutral,week,season,home_win,home_score,away_score,game_id
25.578947,9.789474,35.36842,6.665263,0.18421052631578946,0.02631578966975212,25.5,17.731707,12.707317,30.439024,4.484878,0.04878048780487805,0.12195122241973877,25.5,7.8472404,-2.9178438,2.180385,0.09563543274998665,0.0,2.5,1,0,5,2015,1,30.0,27.0,2015_5_NYG_SF
30.45283,8.056603,38.509434,6.503019,0.11320754716981132,0.07547169923782349,25.5,31.652174,13.695652,45.347824,8.27913,0.13043478260869565,0.08695652335882187,25.5,-1.1993446,-5.6390486,-1.7761111,0.011484824120998383,0.0,2.5,1,0,6,2015,1,31.0,21.0,2015_6_NO_ATL
22.469387,13.061225,35.530613,6.819184,0.1836734693877551,0.08163265138864517,25.5,35.302326,14.44186,49.744186,9.828372,0.2558139534883721,0.04651162773370743,25.5,-12.832939,-1.3806353,-3.0091882,-0.035121023654937744,0.0,2.5,1,0,6,2015,0,21.0,34.0,2015_6_BUF_CIN
28.833334,8.185185,37.01852,6.7811117,0.16666666666666666,0.03703703731298447,25.5,26.826086,7.7826085,34.608696,5.751304,0.13043478260869565,0.15217390656471252,25.5,2.007248,0.40257692,1.0298076,0.11513686925172806,0.0,2.5,1,0,6,2015,0,23.0,26.0,2015_6_CLE_DEN
27.92,4.88,32.8,5.4768,0.14,0.18000000715255737,25.5,21.67347,11.857142,33.530613,5.44449,0.12244897959183673,0.08163265138864517,25.5,6.2465305,-6.9771423,0.03231001,-0.0983673557639122,0.0,2.5,1,0,6,2015,1,37.0,34.0,2015_6_DET_CHI
24.98077,9.096154,34.076923,6.099231,0.19230769230769232,0.07692307978868484,25.5,28.181818,8.745455,36.927273,6.310909,0.14545454545454545,0.1090909093618393,25.5,-3.201048,0.35069942,-0.21167803,0.03216782957315445,0.0,2.5,1,0,6,2015,0,20.0,31.0,2015_6_JAX_HOU
18.0,12.697675,30.697674,4.906047,0.046511627906976744,0.04651162773370743,25.5,29.34091,12.477273,41.818184,6.991818,0.11363636363636363,0.06818182021379471,25.5,-11.34091,0.22040176,-2.085771,0.02167019248008728,0.0,2.5,1,0,6,2015,1,16.0,10.0,2015_6_MIN_KC
29.806452,16.419355,46.225807,8.395484,0.22580645161290322,0.19354838132858276,25.5,23.538462,11.711538,35.25,5.774231,0.09615384615384616,0.11538461595773697,25.5,6.26799,4.707817,2.621253,-0.0781637653708458,0.0,2.5,1,0,6,2015,1,34.0,20.0,2015_6_NYJ_WAS
31.925,15.05,46.975,8.6745,0.15,0.07500000298023224,25.5,26.0,13.215686,39.215687,8.255687,0.2549019607843137,0.05882352963089943,25.5,5.924999,1.8343143,0.4188137,-0.01617647334933281,0.0,2.5,1,0,6,2015,1,25.0,13.0,2015_6_PIT_ARI
23.181818,10.795455,33.977272,6.3704543,0.18181818181818182,0.06818182021379471,25.5,27.0,6.925,33.925,6.1724997,0.175,0.125,25.5,-3.818182,3.8704548,0.19795465,0.05681817978620529,0.0,2.5,1,0,6,2015,0,10.0,38.0,2015_6_TEN_MIA
23.37255,13.960784,37.333332,6.0015683,0.11764705882352941,0.05882352963089943,25.5,19.261906,12.595238,31.857143,5.765714,0.16666666666666666,0.0476190485060215,25.5,4.1106434,1.3655462,0.23585415,-0.01120448112487793,0.0,2.5,1,0,6,2015,0,23.0,27.0,2015_6_SEA_CAR
18.660378,12.169811,30.830189,4.8860373,0.07547169811320754,0.09433962404727936,25.5,21.706896,10.172414,31.87931,5.3665524,0.10344827586206896,0.08620689809322357,25.5,-3.0465183,1.9973974,-0.480515,-0.008132725954055786,0.0,2.5,1,0,6,2015,1,25.0,20.0,2015_6_SF_BAL
25.469387,9.387755,34.857143,6.1371427,0.16326530612244897,0.1428571492433548,25.5,35.564102,9.48718,45.05128,9.568717,0.28205128205128205,0.0,25.5,-10.094715,-0.09942436,-3.4315743,-0.1428571492433548,0.0,2.5,1,0,6,2015,0,27.0,34.0,2015_6_IND_NE
26.142857,9.510204,35.65306,6.5702043,0.16326530612244897,0.12244898080825806,25.5,28.836735,9.306123,38.142857,7.1718364,0.20408163265306123,0.040816325694322586,25.5,-2.6938782,0.20408154,-0.6016321,-0.08163265511393547,0.0,2.5,1,0,6,2015,1,27.0,7.0,2015_6_PHI_NYG
21.095238,11.269841,32.365078,5.2866664,0.09523809523809523,0.0793650820851326,25.5,23.112904,13.33871,36.451614,5.9277415,0.11290322580645161,0.04838709533214569,25.5,-2.0176659,-2.0688686,-0.64107513,-0.030977986752986908,0.0,2.5,1,0,7,2015,0,3.0,20.0,2015_7_SF_SEA
26.721312,9.114754,35.836067,6.4885244,0.21311475409836064,0.1147540956735611,25.5,23.929825,13.192983,37.122807,7.0554385,0.17543859649122806,0.08771929889917374,25.5,2.7914867,-4.078229,-0.5669141,-0.02703479677438736,0.0,2.5,1,0,7,2015,1,34.0,31.0,2015_7_JAX_BUF
29.52459,6.5409837,36.065575,6.2957373,0.18032786885245902,0.16393442451953888,25.5,19.301888,11.886792,31.188679,4.9098115,0.05660377358490566,0.07547169923782349,25.5,10.222702,-5.3458085,1.3859258,-0.0884627252817154,0.0,2.5,1,0,7,2015,0,19.0,28.0,2015_7_DET_MIN
25.57377,9.508197,35.081966,6.334426,0.18032786885245902,0.1147540956735611,25.5,30.09375,7.9375,38.03125,6.631875,0.109375,0.0625,25.5,-4.5199795,1.5706968,-0.2974491,-0.052254095673561096,0.0,2.5,1,0,7,2015,0,21.0,27.0,2015_7_IND_NO
28.089285,10.821428,38.910713,6.4432144,0.10714285714285714,0.0535714291036129,25.5,29.612246,15.163265,44.775513,8.274285,0.16326530612244897,0.06122449040412903,25.5,-1.5229607,-4.341837,-1.8310709,0.0076530613005161285,0.0,2.5,1,0,7,2015,1,23.0,13.0,2015_7_KC_PIT
26.92,9.14,36.06,6.6028,0.18,0.14000000059604645,25.5,29.25397,9.142858,38.396828,6.7876186,0.1746031746031746,0.095238097012043,25.5,-2.333969,-0.0028572083,-0.18481874,-0.04476190358400345,0.0,2.5,1,0,7,2015,1,44.0,26.0,2015_7_MIA_HOU
